Cleaned_Dialogue,Positive/Negative,Song Recommendations
don’t understand elizabeth ask go tripwith taking slow i’m ready okay whatwhat itell,Negative,Monster
still haven’t gotten check half yet,Negative,Bad Liar
i’m talking broke fridge,Negative,B.Y.O.B.
ross think misunderstood saying wanted totell i’m going florida couple weeks,Negative,Bleed
huh ohoh fine uh misunderstanding shedidn’t want go wanted let know she’s goingto florida spring vacation,Negative,Heaven and Hell - 2008 Remaster
uh met newsstand grabbed last,Negative,Laid to Rest
ask us find guy come traipsing yourown,Negative,Friction
yeah ii found one weirdo,Negative,Pumped Up Kicks
reason it’s know single guy cares otherpeople,Negative,It's My Life
look wanted coffee rachel,Negative,A Million Dreams
oh y’know didn’t give phone number,Negative,Bad Liar
cannot believe guys really nice left ofyou,Negative,Hurricane
well turns going daytona spring break woohoothat means means wet tshirt contests guys shots girl’s bodieswaking next people don’t even know…,Negative,Trndsttr
drove sold tshirts blast y’know whoknows party drunk college chicks,Negative,Bugzy Malone
ross can’t tell go started dating,Negative,Bleed
yeah i’ve working hard semester really need togo crazy y’know blow steam,Negative,Play with Fire (feat. Yacht Money)
sure sure look don’t don’t know plans arefinalized yet umm hey ii know another great way blow steam,Negative,Smooth Criminal - 2012 Remaster
don’t know know don’t work late tomorrow night,Negative,Kaer Morhen
wellwell little blind sided y’know good,Negative,A Million Dreams
i’m sort middle something,Negative,Bleed
rachel rachel haven’t touched eldad’s hair,Negative,Viva Las Vengeance
y’know phoebe isn’t really worth free massage,Negative,All We Know
i’ll tell ya embarrassed it’s guys comeon ridiculous thank much need get date,Negative,The Pot
pretty funny hid huh anyway ummii worried bathing suit it’s revealing i’mfine i’m concerned health sun exposure,Negative,But It's Better If You Do
oh don’t worry plenty sun block it’s spf30,Negative,Whatever It Takes
well what’s bottle actually 30 mean sometimes youget 30 sometimes it’sit’s get 4 swear god often notit’s milk,Negative,Bleed
got really weird message ross said turn,Negative,Beautiful Alien (feat. AI AM) - Radio Edit
hey got uh teacher evaluations check onestudent wrote loved dr geller’s class mind blowing lectures dr geller,Negative,Let Me Love You
ahh hotties paleontology department there’s bigselling calendar eh,Negative,Old Town Road
oh wish knew evaluations anonymous,Negative,Kaer Morhen
hot girl’s stake sudden he’s rain man,Negative,Viva Las Vengeance
okay wait minute wait minute sure agirl,Negative,Toxicity
it’s girl anyway wou—it wouldn’t matter okaybecause i’m teacher,Negative,Buni
know i’m 90 she’ll like 80 won’t seem likesuch big difference,Negative,Speed of Sound
hey chandler y’know girl went college whowhobecame movie director,Negative,Collar Full
it’s chandler’s way pretending didn’t take mime,Negative,Free Bird - Edit
oh well listen anyway she’s directing new al pacino movie yougotta get audition,Negative,Enemy (with JID) - from the series Arcane League of Legends
oh don’t know man haven’t talked like tenyears,Negative,Wake Me up When September Ends
nonono pleaseplease chandler iii would owe,Negative,The Ballad of Mona Lisa
well didn’t say fire i’m guessing verygood come gotta go,Negative,Sign of the Times
part want audition fireman meant,Negative,Moves Like Jagger
oh don’ti don’t think would best idea,Negative,Kaer Morhen
oh well it’s bad,Negative,Strawberry Swing
yeah damage pretty mostly contained bedrooms,Negative,Psychosocial
oh it’s bad it’s really bad thing thatisn’t burned ass,Negative,Toxicity
figured started fire mr fireman,Negative,Dance Off (feat. Idris Elba & Anderson .Paak)
well uh either smoke,Negative,Toxicity
nonono uh light candles burn incense,Negative,Attention
yes time love oh god it’s meit’s burned house burned house,Negative,goosebumps
you’re phone wanna get pizza,Negative,Someone In The Crowd
hey listen when’swhen’s audition mean knowit’s thursday time,Negative,Cotton Eye Joe
honey date haven’t talked ten yearsyou can’t call somebody haven’t talked ten years ask themfor favor rules y’know gotta got put time,Negative,Bad Liar
you’re right i’m sorry it’s like you’rey’know going exgirlfriend,Negative,Toxicity
right well don’t go exboyfriend joeya favor,Negative,Toxicity
y’know ran school howie,Negative,Take Me Back To London (Sir Spyro Remix) [feat. Stormzy
apparently howie’s editing yeah hehehe calls asksme edit new movie believe y’know iii haven’tspoken like ten years asks favor,Negative,Bleed
yeah i’ve always hated howie,Negative,B.Y.O.B.
last minute want apologize mess okay,Negative,Psychosocial
oh god sure didn’t look way lived,Negative,Wake Me up When September Ends
know look there’s one problem though there’sonly room one guess one stay joey’s,Negative,Bleed
hey heyhey one’s fault pheebs okay anaccident,Negative,Free Bird - Edit
well fault get nice room,Negative,Don't Panic
rach you’re first guest hotel monica umm you’lljust tell like eggs morning thought would bringthem y’know bed oh much,Negative,Symphony (feat. Zara Larsson)
oh please big class never even noticed,Negative,Symphony Of Destruction - Remastered 2012
course uh sat next sleepy sleeperson,Negative,Toxicity
oh uh trouble remembering everyone’s name ii kinda cameup nicknames like guy side smelly von brownshirt,Negative,Royals
oh yeah umm nickname,Negative,Cotton Eye Joe
umm it’s cutie mcpretty,Negative,Can't Hold Us (feat. Ray Dalton)
listen gotta tell ya ii’m great time y’know howbefore said might weird whole student teacher thing frank ithought would it’s mean it’s,Negative,Young Dumb & Broke
sleep well last night,Negative,Hotel California - 2013 Remaster
monica sweet left little mint pillow,Negative,Alors on danse - Radio Edit
y’know joey left pillow,Negative,Collar Full
appliance left bathroom it’s lookslike curling iron,Negative,Heaven and Hell - 2008 Remaster
don’t use curling iron,Negative,Kaer Morhen
well don’t look hair’s straight straightstraight straight,Negative,New Rules
go wouldn’t want best guest strain eyes,Negative,Often
smell joey’s hardly smell,Negative,Toxicity
well let know y’know bake pie tocover,Negative,Whatever It Takes
smell little bake pie,Negative,Kaer Morhen
well really mean technically it’sit’s therules anything frowned upon especially professor ran lastnight judgey von holierthanthou,Negative,All We Know
well ross careful don’t want get reputationas y’know professor mcnailshisstudents,Negative,Royals
heyheyhey go dana reason leave ablock time open say thursday,Negative,Smooth Criminal - 2012 Remaster
uh dana keystone college,Negative,V
joey didn’t even know,Negative,Ain't No Rest for the Wicked
y’know uh actually iii get going,Negative,Bad Liar
oh nonono that’s not—nonono,Negative,Nightmare
i’m sorry chandler y’know sweet guy idon’t want hurt oh wish something make feelbetter,Negative,Die For You
well umm mean top head umm ihave friend actor friend would kill thought thisumm umm would possible get audition movie say onthursday,Negative,Play with Fire (feat. Yacht Money)
absolutely youyou would really feel better rejecting ifyour actor friend audition movie,Negative,Wait and Bleed
oh look that’s gonna leave stain,Negative,All We Know
want huh wanna go get drink,Negative,LA Devotee
nothing i’mi’m i’m comfortable,Negative,I Want to Know What Love Is - 1999 Remaster
course course areare gone,Negative,Raining Blood
uh they’re still think i’m leave,Negative,Attention
aren’t popular culture class,Negative,Cake By The Ocean
that’s right lydia elizabeth student uh we’redating may frown upon we’re gonna hide anymore,Negative,Sweet Child O' Mine
they’re gonna fire can’t date student it’sagainst rules,Negative,Nightmare
know said umm hair straightener startedthe fire think i’m partly fault see didn’t didn’t tellyou umm ii recently refilled tissues y’know let’s justface that’s kindling think it’s better stay atjoey’s,Negative,Ain't No Rest for the Wicked
yeah said something crumbies,Negative,Toxicity
phoebe come don’t want switch please come ican throw wet paper towels,Negative,Middle Of A Breakup
monica’s eat cookies sink,Negative,I Feel It Coming
know know really like wewe can’t date it’sagainst rules it’s forbidden,Negative,Heaven and Hell - 2008 Remaster
well iii don’t care hot it’sit’s uh it’swrong,Negative,Build God
well least make laugh,Negative,Hold
well haven’t seen since night told hey’know… don’t know think he’s avoiding bagel onthe floor,Negative,Rain
ew chandler naked sort like like ring toss kind ofsituation,Negative,Toxicity
can’t y’know guys don’t know it’s like toput like get shot,Negative,Sign of the Times
hello rejection got shot fat camp boy kids meanwhen they’re hungry,Negative,Hurricane
rachel mean gonna never going talk toher mean know it’s weird it’s awkward gotta least try,Negative,Chop Suey!
didn’t know read tea leaves,Negative,Sugar
uhhmm uhhmm who’s next,Negative,I Dunno (feat. Dutchavelli & Stormzy)
ii haven’t seen pink shirt,Negative,Toxicity
great great must’ve left mona’s knew,Negative,Often
well ask mona give back,Negative,Whatever It Takes
tea gives phoebe trots,Negative,Duality
thought joey would okay hung it’snot even like know anymore,Negative,Build God
know it’s tough things get better,Negative,Viva La Vida
know gets worse worse worse tothe point can’t even room,Negative,Ghost of Perdition
let’s say can’t find right cd case putit nearest one,Negative,Psychosocial
honey i’m gonna save time 200 cds one inthe right case,Negative,Painkiller
okay need panic deep breathes everyone okay umm uh we’rejust gonna spend time put cds right cases,Negative,Bleed
well we’re gonna come kind oforder y’know alphabetically genre,Negative,Not Afraid
hmm don’t know really talk,Negative,Bleed
okay ii’m sorry joey focusing thisuncomfortable thing need change subject next time see himtry get talking something else,Negative,New Rules
yeah like don’t know maybe work problem youneed advice,Negative,Nearly Witches (Ever Since We Met...)
uh really don’t know tell rach really don’ti mean maybe joey help big work problem,Negative,Chop Suey!
uh a…big work problem,Negative,Bleed
yeah it’s umm… yeah it’s uh… itit’sy’know—it’s nothing,Negative,Toxicity
yeah—no wait joey wait it’s somethingit’sit’s umm…it’s boss,Negative,Paranoid - 2012 - Remaster
boss wants buy baby,Negative,Raining Blood
know told it’s really big problem,Negative,Build God
man said problem boss baby figuredit something maternity leave,Negative,Don't Panic
oh umm ii don’t know want wear woman’s shirt,Negative,Chop Suey!
nono that’s man’s shirt,Negative,Toxicity
oh god honey meant together copiesof,Negative,Let Me Love You
isn’t funny kept running it’s ifsomeone really wants us together,Negative,Señorita
ain’t thing i’m wild,Negative,I Made It
i’m sorry i’m staring it’s mostbeautiful eyes,Negative,Symphony (feat. Zara Larsson)
okay umm look you’re coming little strong i’mgoing give benefit doubt seems universe really wants tobe together don’t start okay tell aboutyourself,Negative,Kaer Morhen
oh also might interested know phd,Negative,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack"
problem oh know guy’s going bebothering baby thing anymore,Negative,Royals
nonono joey doesn’t want buy baby made thatup,Negative,Nightmare
